scalings,0,500,1000,1500
HanoiTower/0008-hanoi_tower-60-0.asp,4390489,2551991,5101501,5281064
HanoiTower/0013-hanoi_tower-32-0.asp,275746,389715,49351,281087
HanoiTower/0021-hanoi_tower-40-0.asp,801038,397217,638723,478675
HanoiTower/0022-hanoi_tower-60-0.asp,41943,31902,12621,23010
HanoiTower/0023-hanoi_tower-60-0.asp,31451,40369,15533,13204
HanoiTower/0025-hanoi_tower-60-0.asp,113315,119867,46698,39886
HanoiTower/0032-hanoi_tower-60-0.asp,66224,67987,54102,65362
HanoiTower/0036-hanoi_tower-80-0.asp,111212,43408,39731,40862
HanoiTower/0039-hanoi_tower-80-0.asp,375303,86248,82024,105609
HanoiTower/0040-hanoi_tower-80-0.asp,287814,86931,89095,100559
HanoiTower/0046-hanoi_tower-100-0.asp,151528,163863,140526,148588
HanoiTower/0047-hanoi_tower-120-0.asp,40485,61043,60993,29223
HanoiTower/0048-hanoi_tower-120-0.asp,92980,56397,91302,174923
HanoiTower/0050-hanoi_tower-120-0.asp,314254,158846,207277,141549
HanoiTower/0056-hanoi_tower-120-0.asp,2854569,1788105,1207377,1342890
HanoiTower/0059-hanoi_tower-120-0.asp,11674043,3145809,2820213,2820623
HanoiTower/0060-hanoi_tower-120-0.asp,6790726,4403148,2903875,3098217
Labyrinth/0025-labyrinth-14-0.asp,6228,112773,112773,112773
Labyrinth/0045-labyrinth-11-0.asp,11880,193616,193616,193616
Labyrinth/0060-labyrinth-13-0.asp,6332,20927,20927,20927
Labyrinth/0075-labyrinth-13-0.asp,186819,186819,186819,186819
Labyrinth/0082-labyrinth-14-0.asp,751658,1448875,1448875,1448875
Labyrinth/0083-labyrinth-23-0.asp,58678193,59294703,59524502,59478060
Labyrinth/0094-labyrinth-17-0.asp,2013422,1009236,1009236,1009236
Labyrinth/0117-labyrinth-23-0.asp,49939640,54601694,54613886,54638896
Labyrinth/0130-labyrinth-14-0.asp,563327,3259224,3259224,3259224
Labyrinth/0151-labyrinth-19-0.asp,9382994,2086905,2086905,2086905
Labyrinth/0157-labyrinth-13-0.asp,1639136,329012,329012,329012
Labyrinth/0192-labyrinth-18-0.asp,8212844,5708678,5708678,5708678
Labyrinth/0204-labyrinth-20-0.asp,10411263,43340330,43695076,44192598
Labyrinth/0205-labyrinth-20-0.asp,20133079,31478894,31478894,31478894
Labyrinth/0207-labyrinth-20-0.asp,18670302,24400512,24400512,24400512
Labyrinth/0209-labyrinth-20-0.asp,11478071,19264744,19264744,19264744
Labyrinth/0210-labyrinth-20-0.asp,20687024,42322350,42401613,42577152
Labyrinth/0215-labyrinth-21-0.asp,3725136,4605199,4605199,4605199
Labyrinth/0238-labyrinth-22-0.asp,46510008,53470719,53566465,53382844
Labyrinth/0241-labyrinth-22-0.asp,26160613,44377989,44380041,44444779
Nomistery/0006-nomystery-55-0.asp,10028584,461573,4650160,266323
Nomistery/0007-nomystery-57-0.asp,1142184,2991988,1396848,1552906
Nomistery/0009-nomystery-63-0.asp,669330,9137,9079,115831
Nomistery/0012-nomystery-84-0.asp,17151080,17232830,11387452,9121489
Nomistery/0014-nomystery-73-0.asp,17914911,14430273,10693822,5703179
Nomistery/0024-nomystery-86-0.asp,16613081,14034094,15179575,10683934
Nomistery/0025-nomystery-85-0.asp,16813066,22165181,13953577,11831068
Nomistery/0027-nomystery-172-0.asp,11763255,13489119,13929644,12338907
Nomistery/0028-nomystery-167-0.asp,8234124,18723683,9587915,9903095
Nomistery/0029-nomystery-123-0.asp,15435772,11947810,13334539,10481777
Nomistery/0030-nomystery-117-0.asp,18236134,13288763,10986353,7996037
Nomistery/0031-nomystery-52-0.asp,864438,632511,98894,4039
Nomistery/0033-nomystery-32-0.asp,289039,412037,191767,511975
Nomistery/0034-nomystery-64-0.asp,1347602,1312803,815480,815480
Nomistery/0037-nomystery-36-0.asp,15948459,13817570,10885595,9295719
Nomistery/0038-nomystery-63-0.asp,21306399,20122633,18027517,13502807
Nomistery/0039-nomystery-42-0.asp,722276,395145,1051357,1541294
Nomistery/0041-nomystery-88-0.asp,15693828,13810973,10473885,11697501
