,empty-1/base,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-20.lp,900,900,0,0,8007,0,900,900,0,0,8001,0,900,900,0,0,8002,0,900,900,0,0,8006,0,900,900,0,0,8003,0,900,900,0,0,8003,0,900,900,0,0,8001,0,900,900,0,0,8003,0,900,900,0,0,8007,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-21.lp,900,900,0,0,8003,0,900,900,0,0,8003,0,900,900,0,0,8005,0,900,900,0,0,8002,0,900,900,0,0,8002,0,900,900,0,0,8007,0,900,900,0,0,8002,0,900,900,0,0,8003,0,900,900,0,0,8007,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-22.lp,900,900,0,0,8003,0,900,900,0,0,8001,0,900,900,0,0,8005,0,900,900,0,0,8002,0,900,900,0,0,8003,0,900,900,0,0,8005,0,900,900,0,0,8001,0,900,900,0,0,8003,0,900,900,0,0,8005,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-23.lp,35.83,34.652,18402,1062,783,0,34.85,33.655,11493,881,787,253,37.63,36.359,11493,881,786,253,35.12,34.017,11605,958,788,231,34.7,33.536,23797,1046,782,120,35.41,34.048,23764,1398,785,218,34.7,33.536,11493,881,782,0,35.265,34.0325,15003.5,1002,785.5,224.5,37.63,36.359,23797,1398,788,253
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-24.lp,419.62,409.96,7694,202,7531,0,402.84,393.289,7694,202,7535,0,405.77,396.306,7694,202,7534,0,393.32,383.848,7694,202,7534,0,394.64,384.824,7694,202,7533,0,392.28,382.826,7694,202,7541,0,392.28,382.826,7694,202,7531,0,398.74,389.0565,7694,202,7534,0,419.62,409.96,7694,202,7541,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-25.lp,900,900,0,0,8180,0,900,900,0,0,8170,0,900,900,0,0,8174,0,900,900,0,0,8094,0,900,900,0,0,8147,0,900,900,0,0,8102,0,900,900,0,0,8094,0,900,900,0,0,8158.5,0,900,900,0,0,8180,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-26.lp,900,900,0,0,8048,0,900,900,0,0,8090,0,900,900,0,0,8124,0,900,900,0,0,8033,0,900,900,0,0,8045,0,900,900,0,0,8058,0,900,900,0,0,8033,0,900,900,0,0,8053,0,900,900,0,0,8124,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-27.lp,900,900,0,0,8002,0,900,900,0,0,8005,0,900,900,0,0,8017,0,900,900,0,0,8001,0,900,900,0,0,8005,0,900,900,0,0,8003,0,900,900,0,0,8001,0,900,900,0,0,8004,0,900,900,0,0,8017,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-28.lp,900,900,0,0,8066,0,900,900,0,0,8005,0,900,900,0,0,8048,0,900,900,0,0,8155,0,900,900,0,0,8079,0,900,900,0,0,8092,0,900,900,0,0,8005,0,900,900,0,0,8072.5,0,900,900,0,0,8155,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-29.lp,900,900,0,0,8002,0,900,900,0,0,8001,0,900,900,0,0,8005,0,900,900,0,0,8004,0,900,900,0,0,8001,0,900,900,0,0,8001,0,900,900,0,0,8001,0,900,900,0,0,8001.5,0,900,900,0,0,8005,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-3.lp,22.08,21.537,839,84,463,0,21.51,20.894,839,84,463,0,22.12,21.501,839,84,470,0,21.28,20.666,839,84,472,0,21.62,21.091,839,84,472,0,21.4,20.838,839,84,463,0,21.28,20.666,839,84,463,0,21.565,20.9925,839,84,466.5,0,22.12,21.537,839,84,472,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-30.lp,900,900,0,0,8000,0,900,900,0,0,8002,0,900,900,0,0,8006,0,900,900,0,0,8004,0,900,900,0,0,8001,0,900,900,0,0,8002,0,900,900,0,0,8000,0,900,900,0,0,8002,0,900,900,0,0,8006,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-4.lp,38.38,37.5,2816,152,828,0,39.45,38.462,2816,152,825,0,41.1,40.108,2816,152,830,0,39.52,38.561,2816,152,823,0,38.79,37.717,2816,152,828,0,38.47,37.468,2816,152,828,0,38.38,37.468,2816,152,823,0,39.12,38.0895,2816,152,828,0,41.1,40.108,2816,152,830,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-5.lp,1.83,1.642,503,126,51,0,1.71,1.517,858,83,51,34,1.76,1.575,858,83,55,34,1.82,1.637,858,83,52,34,1.83,1.541,854,84,51,18,1.72,1.534,903,86,51,31,1.71,1.517,503,83,51,0,1.79,1.558,858,83.5,51,32.5,1.83,1.642,903,126,55,34
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-6.lp,52.37,50.909,2990,195,1134,0,51.56,50.089,4196,448,1133,27,52.03,50.383,4196,448,1132,27,51.66,49.93,4196,448,1133,27,52.75,51.271,5714,777,1135,18,51.55,49.968,4196,448,1130,27,51.55,49.93,2990,195,1130,0,51.845,50.236,4196,448,1133,27,52.75,51.271,5714,777,1135,27
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-7.lp,14.02,13.597,1157,84,305,0,13.87,13.452,1157,84,308,0,13.9,13.482,1157,84,306,0,13.95,13.548,1157,84,310,0,14.46,14.064,1157,84,307,0,13.68,13.277,1157,84,307,0,13.68,13.277,1157,84,305,0,13.925,13.515,1157,84,307,0,14.46,14.064,1157,84,310,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-8.lp,66.34,64.853,3997,292,1345,0,67.15,65.496,3997,292,1347,0,65.66,64.135,3997,292,1347,0,64.97,63.436,3997,292,1346,0,66.86,65.192,3997,292,1346,0,66.3,64.676,3997,292,1344,0,64.97,63.436,3997,292,1344,0,66.32,64.7645,3997,292,1346,0,67.15,65.496,3997,292,1347,0
pddl-instances/ipc-1998/domains/logistics-round-1-strips/instance-9.lp,89.6,87.118,11428,1254,1803,0,87.97,85.241,8608,1223,1809,248,87.13,84.685,11649,1235,1810,254,88.55,85.574,6674,1162,1805,193,87.47,84.848,17696,1535,1803,144,89.15,86.373,12377,1280,1808,225,87.13,84.685,6674,1162,1803,0,88.26,85.4075,11538.5,1244.5,1806.5,209,89.6,87.118,17696,1535,1810,254
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-1.lp,0.46,0.36,36,0,22,0,0.47,0.359,36,0,22,0,0.45,0.332,36,0,22,0,0.44,0.335,36,0,22,0,0.46,0.351,36,0,22,0,0.47,0.371,36,0,22,0,0.44,0.332,36,0,22,0,0.46,0.355,36,0,22,0,0.47,0.371,36,0,22,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-10.lp,0.48,0.39,77,0,22,0,0.52,0.391,77,0,22,0,0.52,0.409,77,0,22,0,0.42,0.324,77,0,21,0,0.52,0.417,77,0,22,0,0.52,0.412,77,0,22,0,0.42,0.324,77,0,21,0,0.52,0.4,77,0,22,0,0.52,0.417,77,0,22,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-11.lp,0.41,0.309,84,0,21,0,0.53,0.425,84,0,23,0,0.47,0.372,84,0,22,0,0.45,0.339,84,0,22,0,0.46,0.357,84,0,22,0,0.46,0.352,84,0,22,0,0.41,0.309,84,0,21,0,0.46,0.3545,84,0,22,0,0.53,0.425,84,0,23,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-12.lp,0.4,0.304,89,0,22,0,0.44,0.35,89,0,22,0,0.5,0.398,89,0,22,0,0.57,0.362,89,0,22,0,0.47,0.355,89,0,22,0,0.42,0.328,89,0,22,0,0.4,0.304,89,0,22,0,0.455,0.3525,89,0,22,0,0.57,0.398,89,0,22,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-13.lp,0.44,0.34,94,0,23,0,0.43,0.336,94,0,23,0,0.42,0.326,94,0,21,0,0.51,0.404,94,0,22,0,0.48,0.372,94,0,22,0,0.53,0.424,94,0,23,0,0.42,0.326,94,0,21,0,0.46,0.356,94,0,22.5,0,0.53,0.424,94,0,23,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-14.lp,0.42,0.322,102,0,22,0,0.46,0.352,102,0,22,0,0.54,0.426,102,0,23,0,0.44,0.341,102,0,23,0,0.44,0.345,102,0,23,0,0.46,0.354,102,0,23,0,0.42,0.322,102,0,22,0,0.45,0.3485,102,0,23,0,0.54,0.426,102,0,23,0
pddl-instances/ipc-1998/domains/movie-round-1-strips/instance-15.lp,0.48,0.381,106,0,22,0,0.46,0.35,106,0,22,0,0.49,0.393,106,0,23,0,0.48,0.361,106,0,22,0,0.54,0.436,106,0,23,0,0.44,0.343,106,0,22,0,0.44,0.343,106,0,22,0,0.48,0.371,106,0,22,0,0.54,0.436,106,0,23,0
