,empty-1/base,,,,,,empty-1/mod-encoding,,,,,,empty-1/max-1000-step-1000-size-50-deg-10,,,,,,empty-1/max-1500-step-1500-size-50-deg-10,,,,,,empty-1/max-500-step-500-size-50-deg-10,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-3,,,,,,empty-1/max-1000-step-1000-size-50-deg-10-lbd-5,,,,,,min,,,,,,median,,,,,,max,,,,,
,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded,time,ctime,choices,conflicts,mem,ngadded
depots-strips-automatic/instances/instance-3.lp,0.85,0.702,798,457,34,0,2.67,2.479,1569,506,73,0,2.66,2.486,2631,967,74,20,2.93,2.743,2631,967,73,20,2.68,2.512,2631,967,73,20,2.72,2.534,2080,766,73,14,2.74,2.576,2631,967,73,20,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-4.lp,1.29,0.999,535,184,56,0,5.45,5.197,7324,2770,124,0,4.94,4.687,1924,539,125,6,5.07,4.813,1924,539,124,6,4.86,4.626,1924,539,124,6,5.37,5.113,3441,1057,124,4,5.02,4.761,1924,539,124,6,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-5.lp,5.58,4.891,17810,10274,105,0,11.88,11.459,25350,8471,221,0,23.79,23.361,75886,33808,239,17,23.75,23.31,75886,33808,239,17,23.49,23.087,75886,33808,239,17,10.9,10.457,18934,5916,219,14,10.93,10.543,18934,5916,220,14,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-6.lp,87.1,84.326,162018,107795,345,0,479.35,477.783,1650307,673547,772,0,307.03,305.318,1143643,381477,767,535,315.78,314.215,928156,387401,766,399,393.04,391.521,1235158,517458,761,158,900,900,8887114,1106578,872,0,628.83,627.418,2183165,951455,761,221,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-7.lp,0.9,0.646,265,96,37,0,3.25,3.087,332,66,87,0,3.18,3.002,332,66,87,0,3.16,2.988,332,66,87,0,3.21,3.052,332,66,85,0,3.13,2.954,332,66,83,0,3.23,3.076,332,66,83,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-8.lp,3.49,2.855,4822,2589,112,0,13.42,12.991,15325,6025,254,0,13.38,12.948,13130,5111,258,40,13,12.583,13130,5111,255,40,12.82,12.383,13130,5111,258,40,12.11,11.688,8758,3189,253,34,12.89,12.488,13130,5111,257,40,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
depots-strips-automatic/instances/instance-9.lp,900,900,1072900,768359,421,0,900,900,3157055,1246231,854,0,900,900,3159950,1199029,879,0,900,900,2791160,1107243,856,0,567.3,565.858,1927377,738243,834,231,900,900,3041528,1214164,834,0,555.16,553.534,1857371,701507,815,339,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
driverlog-strips-automatic/instances/instance-11.lp,0.63,0.491,445,212,34,0,3.21,2.942,299,142,73,0,3.05,2.824,299,142,72,0,2.99,2.825,299,142,75,0,2.98,2.829,299,142,77,0,3.03,2.872,299,142,71,0,2.97,2.819,299,142,76,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
driverlog-strips-automatic/instances/instance-12.lp,3.73,3.276,16803,10962,79,0,10.08,9.358,21652,8646,184,0,10.22,9.276,14458,6836,207,699,9.88,9.032,14235,6748,196,487,9.56,9.082,15959,7478,183,217,9.92,9.355,20545,8650,182,163,9.84,9.248,17930,7975,189,312,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
driverlog-strips-automatic/instances/instance-13.lp,2.38,1.788,1510,614,89,0,10.87,10.398,3366,1171,224,0,10.75,10.183,2355,778,224,111,11.42,10.923,2355,778,225,111,10.62,10.142,2355,778,225,111,10.58,10.129,3120,1068,224,49,11,10.507,3680,1189,224,101,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
