scalings,0,500,1000,1500
logistics-round-1-strips/instance-13.lp,0,0,0,0
logistics-round-1-strips/instance-14.lp,0,0,0,0
logistics-round-1-strips/instance-15.lp,0,0,0,0
logistics-round-1-strips/instance-16.lp,0,0,0,0
logistics-round-1-strips/instance-17.lp,0,0,0,0
logistics-round-1-strips/instance-19.lp,0,0,0,0
logistics-round-1-strips/instance-2.lp,0,0,0,0
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,0,0,0,0
logistics-round-1-strips/instance-24.lp,0,0,0,0
logistics-round-1-strips/instance-3.lp,0,0,0,0
logistics-round-1-strips/instance-4.lp,0,0,0,0
logistics-round-1-strips/instance-6.lp,0,0,0,0
logistics-round-1-strips/instance-7.lp,0,0,0,0
logistics-round-1-strips/instance-8.lp,0,0,0,0
logistics-round-1-strips/instance-9.lp,0,0,0,0
mystery-round-1-strips/instance-10.lp,0,0,0,0
mystery-round-1-strips/instance-13.lp,0,0,0,0
mystery-round-1-strips/instance-15.lp,0,0,0,0
mystery-round-1-strips/instance-17.lp,0,0,0,0
mystery-round-1-strips/instance-19.lp,171,92,92,92
mystery-round-1-strips/instance-2.lp,445,243,243,243
mystery-round-1-strips/instance-20.lp,323,96,96,96
mystery-round-1-strips/instance-26.lp,79,52,52,52
mystery-round-1-strips/instance-27.lp,201,137,137,137
mystery-round-1-strips/instance-29.lp,40,40,40,40
mystery-round-1-strips/instance-3.lp,204,180,180,180
mystery-round-1-strips/instance-30.lp,219,88,88,88
mystery-round-1-strips/instance-6.lp,0,0,0,0
mystery-round-1-strips/instance-9.lp,346,161,161,161
learning-hor-hor-lbd-40
blocks-strips-typed/instance-22.lp,17710,702,702,702
blocks-strips-typed/instance-24.lp,3021,595,595,595
blocks-strips-typed/instance-25.lp,14601,3031,3031,3031
blocks-strips-typed/instance-26.lp,6159,1030,1030,1030
blocks-strips-typed/instance-27.lp,4179,0,0,0
blocks-strips-typed/instance-28.lp,1202,0,0,0
blocks-strips-typed/instance-29.lp,8254,836,836,836
blocks-strips-typed/instance-30.lp,15142,5143,5143,5143
blocks-strips-typed/instance-31.lp,4657,567,567,567
blocks-strips-typed/instance-32.lp,2722,0,0,0
blocks-strips-typed/instance-33.lp,1576,54,54,54
blocks-strips-typed/instance-34.lp,787,0,0,0
blocks-strips-typed/instance-35.lp,18426,211,211,211
blocks-strips-typed/instance-36.lp,6475,0,0,0
blocks-strips-typed/instance-37.lp,1583,0,0,0
blocks-strips-typed/instance-38.lp,4275,65,65,65
blocks-strips-typed/instance-39.lp,185,0,0,0
blocks-strips-typed/instance-40.lp,2186,297,297,297
blocks-strips-typed/instance-41.lp,5685,0,0,0
blocks-strips-typed/instance-42.lp,6,1,1,1
depots-strips-automatic/instance-10.lp,7822,11404,11404,11404
depots-strips-automatic/instance-11.lp,2312211,1091439,1645105,435109
depots-strips-automatic/instance-12.lp,19262785,18323719,17598710,16656757
depots-strips-automatic/instance-13.lp,25567,28225,19257,19257
depots-strips-automatic/instance-14.lp,349896,2793,70235,49217
depots-strips-automatic/instance-15.lp,13541061,11755183,12061116,5570171
depots-strips-automatic/instance-16.lp,58192,23772,23772,23772
depots-strips-automatic/instance-17.lp,48467,104081,31069,31069
depots-strips-automatic/instance-18.lp,2746658,2463960,4011217,679808
depots-strips-automatic/instance-19.lp,188193,90696,106566,106566
depots-strips-automatic/instance-20.lp,19742319,19667678,15422113,18384565
depots-strips-automatic/instance-3.lp,9165,6447,6447,6447
depots-strips-automatic/instance-4.lp,23806,3912,3912,3912
depots-strips-automatic/instance-5.lp,73689,79214,46436,8475
depots-strips-automatic/instance-6.lp,1248510,1403025,918502,512268
depots-strips-automatic/instance-7.lp,5593,8249,8249,8249
depots-strips-automatic/instance-8.lp,28293,9855,9855,9855
depots-strips-automatic/instance-9.lp,4903682,3885802,1310092,2556859
driverlog-strips-automatic/instance-11.lp,2629,12794,12794,12794
driverlog-strips-automatic/instance-12.lp,5990,567,567,567
driverlog-strips-automatic/instance-13.lp,6664,5000,5000,5000
driverlog-strips-automatic/instance-14.lp,8575,1102,1102,1102
driverlog-strips-automatic/instance-15.lp,3946,12990,12990,12990
driverlog-strips-automatic/instance-17.lp,625515,187541,141997,141997
driverlog-strips-automatic/instance-18.lp,2117162,815328,881703,1271064
driverlog-strips-automatic/instance-7.lp,649,651,651,651
driverlog-strips-automatic/instance-9.lp,449,330,330,330
elevator-strips-simple-typed/instance-38.lp,2266,1525,1525,1525
elevator-strips-simple-typed/instance-40.lp,1614,2219,2219,2219
elevator-strips-simple-typed/instance-42.lp,2377,2408,2408,2408
elevator-strips-simple-typed/instance-43.lp,1878,1827,1827,1827
elevator-strips-simple-typed/instance-44.lp,4806,920,920,920
elevator-strips-simple-typed/instance-45.lp,1137,819,819,819
elevator-strips-simple-typed/instance-46.lp,2654,2674,393,723
elevator-strips-simple-typed/instance-47.lp,7687,1165,1165,1165
elevator-strips-simple-typed/instance-48.lp,2015,2332,2332,2332
elevator-strips-simple-typed/instance-49.lp,8068,4482,3431,3431
elevator-strips-simple-typed/instance-50.lp,3432,6120,6120,6120
elevator-strips-simple-typed/instance-51.lp,4503,6381,6381,6381
elevator-strips-simple-typed/instance-52.lp,3559,3304,3304,3304
elevator-strips-simple-typed/instance-53.lp,33087,6224,1975,1344
elevator-strips-simple-typed/instance-54.lp,10371,1085,24240,24240
elevator-strips-simple-typed/instance-55.lp,3887,2965,2965,2965
elevator-strips-simple-typed/instance-56.lp,15240,1100,2701,2256
elevator-strips-simple-typed/instance-57.lp,39525,9329,39549,72498
elevator-strips-simple-typed/instance-58.lp,31317,20583,3093,5786
elevator-strips-simple-typed/instance-59.lp,11364,12275,3752,6026
freecell-strips-typed/instance-1.lp,0,0,0,0
freecell-strips-typed/instance-10.lp,0,0,0,0
freecell-strips-typed/instance-11.lp,0,0,0,0
freecell-strips-typed/instance-12.lp,0,0,0,0
freecell-strips-typed/instance-13.lp,0,0,0,0
freecell-strips-typed/instance-14.lp,0,0,0,0
freecell-strips-typed/instance-15.lp,0,0,0,0
freecell-strips-typed/instance-19.lp,0,0,0,0
freecell-strips-typed/instance-2.lp,0,0,0,0
freecell-strips-typed/instance-3.lp,0,0,0,0
freecell-strips-typed/instance-4.lp,0,0,0,0
freecell-strips-typed/instance-5.lp,0,0,0,0
freecell-strips-typed/instance-6.lp,0,0,0,0
freecell-strips-typed/instance-7.lp,0,0,0,0
freecell-strips-typed/instance-8.lp,0,0,0,0
freecell-strips-typed/instance-9.lp,0,0,0,0
grid-round-2-strips/instance-1.lp,1391,833,833,833
grid-round-2-strips/instance-2.lp,676946,12695,4724,62836
gripper-round-1-strips/instance-10.lp,7593866,7855869,7565146,7282846
gripper-round-1-strips/instance-11.lp,7854780,8013267,7079922,6815176
gripper-round-1-strips/instance-12.lp,6864550,7330548,7430492,6937420
gripper-round-1-strips/instance-13.lp,9765901,7180819,6920419,6513248
gripper-round-1-strips/instance-14.lp,8910536,7989414,8251214,7065106
gripper-round-1-strips/instance-15.lp,6667992,7197907,6628270,6509878
gripper-round-1-strips/instance-16.lp,6193919,6930234,6773171,6155198
gripper-round-1-strips/instance-17.lp,7066471,7510243,6816398,6086576
gripper-round-1-strips/instance-18.lp,6234793,6804348,6749336,6029628
gripper-round-1-strips/instance-19.lp,6427311,5986483,6499474,5670065
gripper-round-1-strips/instance-20.lp,7282091,7178276,8022084,5397899
gripper-round-1-strips/instance-4.lp,8143,4209,2740,15128
gripper-round-1-strips/instance-5.lp,15673,13810,6119,3961
gripper-round-1-strips/instance-6.lp,345653,128967,187750,453235
gripper-round-1-strips/instance-7.lp,927858,831554,663539,581324
gripper-round-1-strips/instance-8.lp,7536690,3080888,5308651,3039196
gripper-round-1-strips/instance-9.lp,7880137,305474,7497473,7806241
logistics-round-1-strips/instance-1.lp,2885,2243,2243,2243
logistics-round-1-strips/instance-10.lp,83929,49467,49467,49467
logistics-round-1-strips/instance-11.lp,11381,37877,37877,37877
logistics-round-1-strips/instance-12.lp,0,0,0,0
logistics-round-1-strips/instance-13.lp,0,0,0,0
logistics-round-1-strips/instance-14.lp,42201,64676,64676,64676
logistics-round-1-strips/instance-15.lp,13006,20971,20971,20971
logistics-round-1-strips/instance-16.lp,48649,39097,39097,39097
logistics-round-1-strips/instance-17.lp,25038,31242,31242,31242
logistics-round-1-strips/instance-19.lp,0,0,0,0
logistics-round-1-strips/instance-2.lp,1433,1993,1993,1993
logistics-round-1-strips/instance-21.lp,0,0,0,0
logistics-round-1-strips/instance-23.lp,139326,52416,52416,52416
logistics-round-1-strips/instance-24.lp,0,0,0,0
logistics-round-1-strips/instance-3.lp,1845,1897,1897,1897
logistics-round-1-strips/instance-4.lp,5392,10247,10247,10247
logistics-round-1-strips/instance-6.lp,31705,19383,19383,19383
logistics-round-1-strips/instance-7.lp,1831,3177,3177,3177
logistics-round-1-strips/instance-8.lp,17660,27365,27365,27365
logistics-round-1-strips/instance-9.lp,49631,83325,83325,83325
mystery-round-1-strips/instance-10.lp,0,0,0,0
mystery-round-1-strips/instance-13.lp,0,0,0,0
mystery-round-1-strips/instance-15.lp,0,0,0,0
mystery-round-1-strips/instance-17.lp,0,0,0,0
mystery-round-1-strips/instance-19.lp,397879,850172,488719,690351
mystery-round-1-strips/instance-2.lp,1097667,2168990,528835,669025
mystery-round-1-strips/instance-20.lp,3189224,2180369,2610720,71669
mystery-round-1-strips/instance-26.lp,190858,267612,24747,254572
mystery-round-1-strips/instance-27.lp,73035,139730,54390,57736
mystery-round-1-strips/instance-29.lp,30862,40293,40293,40293
mystery-round-1-strips/instance-3.lp,16193,53233,53233,53233
mystery-round-1-strips/instance-30.lp,282355,667720,97225,79593
mystery-round-1-strips/instance-6.lp,0,0,0,0
mystery-round-1-strips/instance-9.lp,215218,332406,109707,179680
learning-hor-hor-size-10
blocks-strips-typed/instance-22.lp,0,0,0,0
blocks-strips-typed/instance-24.lp,0,0,0,0
blocks-strips-typed/instance-25.lp,0,0,0,0
blocks-strips-typed/instance-26.lp,0,0,0,0
blocks-strips-typed/instance-27.lp,0,0,0,0
blocks-strips-typed/instance-28.lp,0,0,0,0
blocks-strips-typed/instance-29.lp,0,0,0,0
blocks-strips-typed/instance-30.lp,0,0,0,0
blocks-strips-typed/instance-31.lp,0,0,0,0
blocks-strips-typed/instance-32.lp,0,0,0,0
blocks-strips-typed/instance-33.lp,0,0,0,0
blocks-strips-typed/instance-34.lp,0,0,0,0
blocks-strips-typed/instance-35.lp,0,0,0,0
blocks-strips-typed/instance-36.lp,0,0,0,0
blocks-strips-typed/instance-37.lp,0,0,0,0
